"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.145891553E0,-7.082982659E-1,1.120937690E-1,-2.748893574E-2,7.176399433E-1
2.146745553E0,-7.082982659E-1,1.120937690E-1,-2.748893574E-2,7.176399433E-1
2.155243553E0,-6.747006774E-1,8.613199741E-2,-2.718350291E-2,6.807192284E-1
2.156116553E0,-6.747006774E-1,8.613199741E-2,-2.718350291E-2,6.807192284E-1
2.164552553E0,-6.447682381E-1,6.597344577E-2,-2.199114859E-2,6.485076615E-1
2.165424553E0,-6.447682381E-1,6.597344577E-2,-2.199114859E-2,6.485076615E-1
2.174144553E0,-6.175847650E-1,4.764748737E-2,-1.252273750E-2,6.195466439E-1
2.175137553E0,-6.175847650E-1,4.764748737E-2,-1.252273750E-2,6.195466439E-1
2.183207553E0,-6.111706495E-1,1.649336144E-2,-9.773843922E-3,6.114712764E-1
2.184110553E0,-6.111706495E-1,1.649336144E-2,-9.773843922E-3,6.114712764E-1
2.192535553E0,-6.209445000E-1,3.054326167E-3,-8.246680722E-3,6.210067702E-1
2.193407553E0,-6.209445000E-1,3.054326167E-3,-8.246680722E-3,6.210067702E-1
2.201855553E0,-6.191119552E-1,-8.552113548E-3,-2.748893574E-3,6.191771217E-1
2.202771553E0,-6.191119552E-1,-8.552113548E-3,-2.748893574E-3,6.191771217E-1
2.211364553E0,-6.450737119E-1,6.414085161E-3,-3.665191587E-3,6.451160112E-1
2.212300553E0,-6.450737119E-1,6.414085161E-3,-3.665191587E-3,6.451160112E-1
2.220768553E0,-6.444628239E-1,5.375614017E-2,-1.130100712E-2,6.467996341E-1
2.221759553E0,-6.444628239E-1,5.375614017E-2,-1.130100712E-2,6.467996341E-1
2.229848553E0,-6.038402915E-1,1.313360333E-1,-2.015855350E-2,6.182868417E-1
2.230760553E0,-6.038402915E-1,1.313360333E-1,-2.015855350E-2,6.182868417E-1
2.239154553E0,-5.342016816E-1,1.912008226E-1,-7.024950348E-3,5.674315299E-1
2.240051553E0,-5.342016816E-1,1.912008226E-1,-7.024950348E-3,5.674315299E-1
2.248477553E0,-4.670064747E-1,2.257147133E-1,-7.024950348E-3,5.187403292E-1
2.249345553E0,-4.670064747E-1,2.257147133E-1,-7.024950348E-3,5.187403292E-1
2.257971553E0,-4.089742899E-1,2.385428846E-1,8.857546374E-3,4.735410581E-1
2.258905553E0,-4.089742899E-1,2.385428846E-1,8.857546374E-3,4.735410581E-1
2.267118553E0,-3.674354553E-1,1.835650057E-1,1.038470957E-2,4.108683090E-1
2.268008553E0,-3.674354553E-1,1.835650057E-1,1.038470957E-2,4.108683090E-1
2.276701553E0,-3.616322279E-1,8.460483700E-2,1.221730467E-2,3.715980479E-1
2.277688553E0,-3.616322279E-1,8.460483700E-2,1.221730467E-2,3.715980479E-1
2.285769553E0,-3.793473244E-1,-1.130100712E-2,1.740965992E-2,3.799147293E-1
2.286645553E0,-3.793473244E-1,-1.130100712E-2,1.740965992E-2,3.799147293E-1
2.295109553E0,-4.288274050E-1,-1.014036313E-1,1.802052557E-2,4.410219711E-1
2.295979553E0,-4.288274050E-1,-1.014036313E-1,1.802052557E-2,4.410219711E-1
2.304412553E0,-5.009095073E-1,-1.536326110E-1,4.886921961E-3,5.239629716E-1
2.305326553E0,-5.009095073E-1,-1.536326110E-1,4.886921961E-3,5.239629716E-1
2.313821553E0,-5.415320396E-1,-1.530217379E-1,-4.581489135E-3,5.627553574E-1
2.314713553E0,-5.415320396E-1,-1.530217379E-1,-4.581489135E-3,5.627553574E-1
2.323078553E0,-5.571091175E-1,-1.169806942E-1,-1.954768784E-2,5.695938586E-1
2.323951553E0,-5.571091175E-1,-1.169806942E-1,-1.954768784E-2,5.695938586E-1
2.332389553E0,-5.561928153E-1,-7.391469181E-2,-2.535090782E-2,5.616551415E-1
2.333259553E0,-5.561928153E-1,-7.391469181E-2,-2.535090782E-2,5.616551415E-1
2.341711553E0,-5.528330207E-1,-2.535090782E-2,-3.604105115E-2,5.545863095E-1
2.342635553E0,-5.528330207E-1,-2.535090782E-2,-3.604105115E-2,5.545863095E-1
2.351287553E0,-5.384777188E-1,-2.443460934E-2,-3.634648025E-2,5.402558379E-1
2.352174553E0,-5.384777188E-1,-2.443460934E-2,-3.634648025E-2,5.402558379E-1
2.360613553E0,-5.415320396E-1,-8.918632567E-2,-3.451388702E-2,5.499112283E-1
2.361513553E0,-5.415320396E-1,-8.918632567E-2,-3.451388702E-2,5.499112283E-1
2.369675553E0,-5.684100986E-1,-1.582140923E-1,-2.321287990E-2,5.904748741E-1
2.370568553E0,-5.684100986E-1,-1.582140923E-1,-2.321287990E-2,5.904748741E-1
2.379004553E0,-5.962044597E-1,-2.281581759E-1,-8.246680722E-3,6.384229936E-1
2.379888553E0,-5.962044597E-1,-2.281581759E-1,-8.246680722E-3,6.384229936E-1
2.388351553E0,-6.359107494E-1,-2.828305960E-1,9.468411095E-3,6.960354000E-1
2.389268553E0,-6.359107494E-1,-2.828305960E-1,9.468411095E-3,6.960354000E-1
2.397836553E0,-6.490443349E-1,-2.953533530E-1,2.596177347E-2,7.135588031E-1
2.398801553E0,-6.490443349E-1,-2.953533530E-1,2.596177347E-2,7.135588031E-1
2.407231553E0,-6.029239893E-1,-2.409863323E-1,4.153883830E-2,6.506283304E-1
2.408250553E0,-6.029239893E-1,-2.409863323E-1,4.153883830E-2,6.506283304E-1
2.416290553E0,-4.975497425E-1,-1.319468915E-1,4.948008433E-2,5.171208825E-1
2.417174553E0,-4.975497425E-1,-1.319468915E-1,4.948008433E-2,5.171208825E-1
2.425860553E0,-3.714060783E-1,-1.007927675E-2,4.764748737E-2,3.745855709E-1
2.426868553E0,-3.714060783E-1,-1.007927675E-2,4.764748737E-2,3.745855709E-1
2.434955553E0,-2.907718420E-1,7.452555746E-2,4.153883830E-2,3.030310181E-1
2.435865553E0,-2.907718420E-1,7.452555746E-2,4.153883830E-2,3.030310181E-1
2.444253553E0,-2.733621895E-1,8.246681094E-2,3.329215571E-2,2.874648312E-1
2.445145553E0,-2.733621895E-1,8.246681094E-2,3.329215571E-2,2.874648312E-1
2.453580553E0,-2.901609838E-1,6.352998316E-2,2.718350291E-2,2.982757082E-1
2.454480553E0,-2.901609838E-1,6.352998316E-2,2.718350291E-2,2.982757082E-1
2.462991553E0,-3.335324228E-1,4.459316283E-2,2.107485011E-2,3.371595713E-1
2.463921553E0,-3.335324228E-1,4.459316283E-2,2.107485011E-2,3.371595713E-1
2.472581553E0,-4.105014503E-1,2.443460934E-2,7.941247895E-3,4.113046976E-1
2.473586553E0,-4.105014503E-1,2.443460934E-2,7.941247895E-3,4.113046976E-1
2.481609553E0,-4.786129296E-1,2.168571576E-2,-9.162978968E-4,4.791048385E-1
2.482544553E0,-4.786129296E-1,2.168571576E-2,-9.162978968E-4,4.791048385E-1
2.490901553E0,-5.030475259E-1,3.848451003E-2,6.108652451E-4,5.045178331E-1
2.491813553E0,-5.030475259E-1,3.848451003E-2,6.108652451E-4,5.045178331E-1
2.500224553E0,-4.966334403E-1,4.276056588E-2,1.374446787E-2,4.986603557E-1
2.501130553E0,-4.966334403E-1,4.276056588E-2,1.374446787E-2,4.986603557E-1
2.509559553E0,-4.627304375E-1,3.573561832E-2,3.145955876E-2,4.651732968E-1
2.510482553E0,-4.627304375E-1,3.573561832E-2,3.145955876E-2,4.651732968E-1
2.518921553E0,-4.398229718E-1,1.832595794E-3,2.932153270E-2,4.408030821E-1
2.519924553E0,-4.398229718E-1,1.832595794E-3,2.932153270E-2,4.408030821E-1
2.528481553E0,-4.276056588E-1,-3.054326214E-2,3.634648025E-2,4.302331425E-1
2.529409553E0,-4.276056588E-1,-3.054326214E-2,3.634648025E-2,4.302331425E-1
2.537528553E0,-3.976732790E-1,-6.383541971E-2,6.108652428E-2,4.073702998E-1
2.538452553E0,-3.976732790E-1,-6.383541971E-2,6.108652428E-2,4.073702998E-1
2.546875553E0,-3.836233616E-1,-8.032877743E-2,7.177666575E-2,3.984613981E-1
2.547800553E0,-3.836233616E-1,-8.032877743E-2,7.177666575E-2,3.984613981E-1
2.556163553E0,-3.646865487E-1,-6.108652428E-2,7.819075137E-2,3.779439586E-1
2.557091553E0,-3.646865487E-1,-6.108652428E-2,7.819075137E-2,3.779439586E-1
2.565529553E0,-3.103195429E-1,1.466076635E-2,7.941248268E-2,3.206547975E-1
